timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610547929.579,130.371,33.203,40.527,74.219,29.297,0
1610547929.583,25.391,35.645,23.438,36.621,39.062,0
1610547929.587,-56.641,32.227,28.320,-15.137,29.297,0
1610547929.591,-20.020,34.668,28.320,2.441,-7.324,0
1610547929.595,99.609,33.203,18.555,61.523,-13.672,0
1610547929.599,130.859,29.785,18.555,76.660,3.418,0
1610547929.603,29.785,35.156,26.367,33.203,26.367,0
1610547929.606,-61.523,33.203,38.086,-28.320,-23.926,0
1610547929.610,-45.410,29.297,36.621,-9.277,-15.625,0
1610547929.614,70.312,31.738,33.203,64.941,42.480,0
1610547929.618,132.324,29.785,36.133,67.871,63.965,0
1610547929.622,46.875,29.297,38.086,18.066,43.945,0
1610547929.624,-53.223,32.227,32.715,-20.508,-29.297,0
1610547929.628,-50.293,30.273,21.484,-11.230,3.418,0
1610547929.632,57.617,24.414,22.949,50.293,52.246,0
1610547929.636,131.348,24.902,26.367,91.309,28.320,0
1610547929.640,55.176,31.738,15.137,52.246,20.508,0
1610547929.644,-46.387,34.180,23.438,-9.277,14.648,0
1610547929.648,-51.758,33.203,42.969,-10.254,65.918,0
1610547929.651,34.668,25.879,43.457,45.410,81.543,0
1610547929.655,118.652,26.367,42.480,79.102,57.617,0
1610547929.659,75.195,35.645,37.598,43.457,37.109,0
1610547929.663,-39.551,31.250,23.438,-19.531,-25.879,0
1610547929.667,-53.223,29.785,20.020,-24.902,-25.879,0
1610547929.670,38.574,35.645,24.902,33.691,83.496,0
1610547929.674,137.207,37.598,31.250,76.660,115.234,0
1610547929.678,107.422,31.738,27.832,59.570,77.148,0
1610547929.682,-21.973,27.344,22.949,13.184,104.980,0
1610547929.686,-62.012,29.297,25.391,-7.324,91.797,0
1610547929.690,29.297,29.785,24.902,28.809,67.871,0
1610547929.694,132.324,29.785,31.250,76.660,89.844,0
1610547929.697,108.887,31.250,32.715,50.293,68.848,0
1610547929.701,-18.066,31.738,34.180,-17.090,21.484,0
1610547929.705,-73.730,32.227,34.668,-34.180,10.254,0
1610547929.709,-2.441,26.855,20.508,11.719,18.555,0
1610547929.713,107.910,25.391,16.113,68.848,24.414,0
1610547929.714,109.375,30.762,32.715,63.965,17.090,0
1610547929.718,-2.441,34.180,35.156,4.395,23.926,0
1610547929.722,-75.684,32.715,27.344,-30.762,36.621,0
1610547929.726,-21.973,30.762,25.391,9.766,-7.812,0
1610547929.730,103.027,32.227,30.273,73.242,61.523,0
1610547929.734,124.512,33.203,28.809,76.172,83.496,0
1610547929.738,23.438,33.691,22.461,24.902,20.508,0
1610547929.741,-55.176,26.855,23.926,-25.879,11.719,0
1610547929.745,-16.602,23.926,20.508,-7.324,-16.602,0
1610547929.749,102.051,31.738,25.391,65.918,7.324,0
1610547929.753,145.508,34.668,33.691,89.355,69.824,0
1610547929.757,34.180,32.715,33.203,31.250,29.785,0
1610547929.760,-70.312,27.344,38.574,-20.508,9.766,0
1610547929.764,-35.645,27.832,40.039,6.348,29.785,0
1610547929.768,81.055,27.344,30.762,65.918,23.438,0
1610547929.772,134.277,22.949,26.367,80.566,58.105,0
1610547929.776,50.293,28.320,26.367,34.668,-16.602,0
1610547929.780,-53.223,30.273,32.715,-8.789,-29.785,0
1610547929.784,-44.434,29.297,28.809,0.488,37.109,0
1610547929.787,63.965,28.809,26.367,47.852,23.438,0
1610547929.791,130.859,31.738,32.227,73.242,-12.695,0
1610547929.795,59.082,33.691,35.156,38.086,41.992,0
1610547929.799,-33.691,31.738,41.016,-4.883,62.500,0
1610547929.803,-44.434,34.180,44.434,-1.465,-29.785,0
1610547929.804,42.969,36.621,34.668,48.828,-29.785,0
1610547929.808,130.859,30.273,23.926,74.219,32.715,0
1610547929.812,72.754,31.738,29.297,37.598,37.598,0
1610547929.816,-30.762,41.504,39.551,-7.324,25.391,0
1610547929.820,-46.387,40.527,37.598,-6.348,72.266,0
1610547929.824,38.574,33.691,27.344,43.457,82.520,0
1610547929.828,130.371,29.785,26.855,77.148,12.207,0
1610547929.831,86.426,26.367,32.227,44.922,30.273,0
1610547929.835,-30.273,27.344,31.738,-14.648,30.762,0
1610547929.839,-61.523,30.273,32.715,-19.043,20.996,0
1610547929.843,18.066,31.738,30.762,37.598,34.668,0
1610547929.847,128.418,35.156,30.273,79.590,-7.812,0
1610547929.850,103.027,30.273,27.344,57.129,-19.043,0
1610547929.854,-20.020,26.855,29.785,2.930,25.391,0
1610547929.858,-71.777,31.250,36.133,-21.973,25.879,0
1610547929.862,0.977,31.250,34.668,13.672,10.254,0
1610547929.866,117.188,36.621,28.320,78.613,85.449,0
1610547929.870,115.234,37.109,24.902,72.266,86.426,0
1610547929.874,-3.418,28.320,32.715,5.371,98.145,0
1610547929.877,-74.219,27.344,33.691,-31.250,74.707,0
1610547929.881,-16.602,30.762,30.762,-1.953,13.184,0
1610547929.885,102.051,33.203,33.203,55.176,19.043,0
1610547929.889,121.582,31.250,27.832,70.312,64.453,0
1610547929.893,10.742,30.762,23.926,18.555,73.730,0
1610547929.896,-69.336,30.762,25.879,-32.227,33.691,0
1610547929.900,-28.809,27.832,21.973,-11.719,52.246,0
1610547929.904,85.938,28.809,21.973,50.293,10.742,0
1610547929.908,124.023,32.227,29.297,71.777,-23.438,0
1610547929.912,22.949,34.668,22.949,24.902,-26.855,0
1610547929.916,-66.406,36.621,12.695,-20.996,-52.246,0
1610547929.920,-44.434,28.809,14.648,-3.418,3.906,0
1610547929.923,64.941,23.926,24.902,49.805,29.785,0
1610547929.927,123.047,25.879,24.414,64.453,40.527,0
1610547929.931,38.574,25.879,22.949,23.438,59.570,0
1610547929.935,-62.500,31.738,25.879,-20.020,41.016,0
1610547929.939,-41.016,31.250,16.113,-26.855,45.898,0
1610547929.954,71.289,27.832,23.438,26.855,93.750,0
1610547929.958,133.301,29.785,33.691,69.824,59.082,0
1610547929.962,46.875,27.832,30.273,28.320,-8.301,0
1610547929.966,-70.312,26.855,19.531,-20.020,64.453,0
1610547929.970,-73.730,29.785,12.695,-6.348,59.570,0
1610547929.974,36.133,30.273,15.137,41.504,20.020,0
1610547929.978,124.023,32.227,27.344,76.172,71.289,0
1610547929.981,66.406,32.227,37.598,39.551,78.125,0
1610547929.985,-40.527,33.691,31.738,-19.531,35.156,0
1610547929.989,-62.500,33.203,24.902,-16.602,-5.371,0
1610547929.993,27.832,32.715,23.926,30.273,-5.859,0
1610547929.997,129.395,34.668,31.738,74.219,47.363,0
1610547929.999,82.520,27.832,31.250,53.223,-14.160,0
1610547930.003,-44.434,25.391,20.996,-8.789,-64.453,0
1610547930.007,-71.777,32.227,31.250,-25.391,-7.812,0
1610547930.011,21.973,36.133,39.551,20.996,29.297,0
1610547930.015,127.930,41.016,27.344,74.707,55.664,0
1610547930.019,93.262,34.180,17.578,63.477,22.461,0
1610547930.023,-30.762,29.297,16.602,0.000,30.762,0
1610547930.026,-71.289,28.809,16.602,-26.367,48.340,0
1610547930.030,-2.441,24.414,24.902,20.996,66.406,0
1610547930.034,110.352,27.344,30.273,65.918,108.398,0
1610547930.038,110.840,28.320,29.297,53.223,121.094,0
1610547930.042,-10.742,31.738,30.273,1.465,77.148,0
1610547930.044,-69.336,36.621,26.367,-26.855,11.719,0
1610547930.048,-2.930,33.203,23.926,7.812,16.113,0
1610547930.052,107.910,30.762,28.809,70.801,-29.785,0
1610547930.056,124.023,32.715,40.527,83.984,-19.043,0
1610547930.060,15.137,36.621,35.645,32.715,-19.531,0
1610547930.064,-56.641,38.086,30.762,-11.719,42.969,0
1610547930.068,-9.766,34.668,39.551,9.766,107.910,0
1610547930.071,88.867,30.762,30.762,57.617,21.973,0
1610547930.075,118.652,27.832,25.879,68.848,16.113,0
1610547930.079,24.414,32.227,37.109,23.438,37.598,0
1610547930.083,-61.523,35.156,35.645,-25.391,14.160,0
1610547930.087,-31.738,30.273,26.367,-8.789,1.953,0
1610547930.089,84.961,31.738,21.484,48.340,15.137,0
1610547930.093,131.836,32.227,22.461,74.707,7.324,0
1610547930.097,41.016,24.902,25.879,37.598,-25.879,0
1610547930.101,-54.688,25.879,31.250,-7.324,26.855,0
1610547930.105,-35.156,33.203,33.203,6.836,41.504,0
1610547930.109,79.102,33.691,37.598,58.594,8.789,0
1610547930.113,142.090,28.320,37.598,72.266,25.879,0
1610547930.116,59.082,27.344,37.109,36.621,-55.664,0
1610547930.120,-42.480,31.250,35.645,-16.113,-66.406,0
1610547930.124,-38.574,31.738,28.809,-16.602,-30.762,0
1610547930.128,63.477,33.203,34.180,46.875,-29.785,0
1610547930.132,136.230,29.297,29.785,80.566,16.113,0
1610547930.135,70.801,27.344,15.137,41.504,62.500,0
1610547930.139,-35.156,33.203,17.578,-10.742,47.363,0
1610547930.143,-52.734,28.809,16.113,-11.719,34.668,0
1610547930.147,40.039,22.949,22.949,40.039,57.129,0
1610547930.151,133.301,27.344,46.875,81.543,60.547,0
1610547930.155,82.520,31.738,52.246,51.270,55.664,0
1610547930.159,-33.691,27.832,46.875,-9.766,-3.418,0
1610547930.162,-60.547,26.367,38.086,-24.414,12.207,0
1610547930.166,27.344,33.203,33.691,30.762,109.863,0
1610547930.170,134.277,35.156,34.180,76.660,96.191,0
1610547930.174,99.121,34.180,28.320,60.547,1.953,0
1610547930.178,-28.320,33.203,23.926,0.488,20.020,0
1610547930.179,-65.430,33.203,26.367,-24.414,24.902,0
1610547930.183,7.812,32.227,26.367,22.949,-19.531,0
1610547930.187,106.445,27.832,23.438,71.777,24.902,0
