timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610548238.494,64.941,23.926,29.785,55.176,-2.441,0
1610548238.498,-16.113,28.320,39.551,20.020,38.574,0
1610548238.502,-36.133,32.227,41.504,-9.277,66.895,0
1610548238.506,8.301,29.297,37.109,14.648,32.715,0
1610548238.510,74.707,27.344,35.645,45.898,52.246,0
1610548238.514,84.961,32.227,31.250,41.992,82.520,0
1610548238.518,14.160,42.969,40.527,19.531,-19.531,0
1610548238.521,-34.668,42.480,48.340,-0.977,-29.297,0
1610548238.525,-8.789,29.297,27.344,-1.953,31.738,0
1610548238.529,66.406,26.855,16.602,37.598,24.902,0
1610548238.533,78.125,27.832,24.414,52.246,27.832,0
1610548238.537,-3.906,24.902,36.133,20.020,59.570,0
1610548238.539,-45.410,26.855,40.039,-11.719,11.719,0
1610548238.543,-17.578,23.926,29.297,-4.395,-48.828,0
1610548238.547,48.828,24.902,34.668,45.410,97.168,0
1610548238.551,90.332,28.320,38.086,67.871,71.777,0
1610548238.555,32.227,27.344,38.574,20.508,19.531,0
1610548238.559,-49.805,30.762,39.062,-16.113,93.262,0
1610548238.563,-34.180,30.273,31.250,0.000,30.273,0
1610548238.566,55.176,31.250,28.809,37.598,-6.836,0
1610548238.570,88.867,31.250,37.109,53.223,17.578,0
1610548238.574,35.156,29.297,29.785,36.133,25.879,0
1610548238.578,-23.926,26.855,15.137,2.441,27.344,0
1610548238.582,-26.855,15.137,7.324,-0.977,11.719,0
1610548238.584,48.340,14.648,8.789,39.551,9.766,0
1610548238.588,88.379,15.625,30.762,57.617,18.555,0
1610548238.592,43.945,21.973,37.109,33.203,77.637,0
1610548238.596,-30.762,30.273,30.273,-4.395,63.965,0
1610548238.600,-48.340,20.996,27.832,-13.672,-2.441,0
1610548238.604,38.574,21.484,29.785,20.996,-10.742,0
1610548238.608,90.332,27.344,25.391,56.641,31.738,0
1610548238.611,41.504,18.555,22.461,26.855,41.016,0
1610548238.615,-32.715,17.578,22.949,-23.926,20.020,0
1610548238.619,-46.387,25.391,22.949,-22.461,17.578,0
1610548238.623,15.137,19.531,23.438,10.254,29.785,0
1610548238.627,76.172,17.578,22.461,44.434,49.805,0
1610548238.629,51.758,26.367,24.902,48.828,60.059,0
1610548238.633,-17.578,30.273,18.555,21.973,14.648,0
1610548238.637,-57.129,23.926,14.160,7.812,15.625,0
1610548238.641,0.488,21.484,23.926,22.461,42.480,0
1610548238.645,78.613,24.414,27.832,45.410,24.414,0
1610548238.649,63.477,22.461,34.668,42.969,40.039,0
1610548238.653,-22.949,15.137,29.785,-3.418,69.336,0
1610548238.656,-65.430,15.137,27.832,-33.203,33.203,0
1610548238.660,-1.465,28.809,36.621,6.836,-6.836,0
1610548238.664,78.613,28.320,27.344,42.969,3.418,0
1610548238.668,76.660,16.113,20.996,28.320,32.227,0
1610548238.672,-0.488,17.578,25.391,-4.395,17.090,0
1610548238.675,-49.316,23.438,26.367,-24.902,3.418,0
1610548238.679,0.000,21.973,24.902,4.883,25.391,0
1610548238.683,77.148,22.949,28.809,56.152,96.680,0
1610548238.687,85.938,24.414,25.879,58.594,91.309,0
1610548238.691,12.207,22.949,24.902,16.113,55.176,0
1610548238.695,-29.297,28.320,31.250,-12.695,36.133,0
1610548238.699,-4.883,28.320,32.715,0.977,50.781,0
1610548238.702,56.152,23.926,30.762,42.480,17.090,0
1610548238.706,79.590,21.973,24.414,49.805,9.766,0
1610548238.710,5.371,19.043,25.391,11.230,32.715,0
1610548238.714,-61.523,20.996,36.621,-18.555,78.613,0
1610548238.718,-37.109,21.973,37.109,-5.371,49.316,0
1610548238.734,43.945,21.973,28.809,42.480,-32.715,0
1610548238.738,79.590,27.832,33.203,61.035,72.754,0
1610548238.742,34.180,30.273,36.133,30.273,78.613,0
1610548238.746,-34.668,29.785,33.691,-5.371,8.789,0
1610548238.750,-29.297,30.273,35.156,-8.789,-6.836,0
1610548238.754,35.645,28.320,30.762,14.160,-33.691,0
1610548238.758,73.242,30.273,25.879,29.297,8.789,0
1610548238.761,24.902,34.180,32.227,12.207,65.918,0
1610548238.765,-47.852,38.574,38.574,-25.879,48.828,0
1610548238.769,-79.102,35.645,31.250,-40.527,39.551,0
1610548238.773,-18.066,31.738,21.973,-12.207,23.926,0
1610548238.777,41.504,28.809,20.020,-2.441,-7.812,0
1610548238.779,-17.578,30.273,22.949,-27.344,6.836,0
1610548238.783,-98.633,33.203,31.250,-68.848,42.480,0
1610548238.787,-113.770,30.762,30.762,-88.379,16.602,0
1610548238.791,-55.664,33.203,27.344,-57.129,25.391,0
1610548238.795,5.371,33.691,25.879,-31.250,70.801,0
1610548238.799,-36.621,32.715,24.414,-53.223,73.242,0
1610548238.803,-121.094,34.180,24.902,-91.309,-14.648,0
1610548238.806,-138.672,33.691,26.367,-104.004,-2.441,0
1610548238.810,-92.285,33.203,24.414,-79.590,59.082,0
1610548238.814,-17.090,34.668,15.137,-42.969,89.844,0
1610548238.818,-33.203,36.621,16.113,-50.781,62.988,0
1610548238.822,-118.652,37.598,25.879,-95.215,12.695,0
1610548238.824,-150.391,33.691,23.926,-119.141,39.551,0
1610548238.828,-98.633,27.832,27.832,-83.496,23.438,0
1610548238.832,-12.207,26.367,30.273,-43.457,50.781,0
1610548238.836,-2.441,26.855,29.297,-41.504,72.266,0
1610548238.840,-83.008,30.762,31.250,-66.406,36.133,0
1610548238.844,-139.648,31.738,17.578,-77.148,14.648,0
1610548238.848,-75.684,31.250,15.137,-45.410,12.207,0
1610548238.851,17.090,27.832,23.926,-14.648,65.918,0
1610548238.855,27.832,27.832,33.203,0.977,26.367,0
1610548238.859,-29.785,37.598,44.922,-18.066,-82.031,0
1610548238.863,-79.590,37.109,48.828,-53.711,-35.645,0
1610548238.867,-59.082,25.391,34.668,-36.621,-23.438,0
1610548238.869,20.508,21.973,22.949,12.207,12.207,0
1610548238.873,56.641,25.391,21.973,27.344,70.801,0
1610548238.877,-17.090,27.832,20.508,-1.465,38.574,0
1610548238.881,-62.500,27.832,28.809,-20.996,63.477,0
1610548238.885,-31.738,18.555,30.762,-9.277,36.133,0
1610548238.889,36.621,12.695,29.297,20.996,12.207,0
1610548238.893,74.219,14.648,30.273,34.668,79.102,0
1610548238.896,20.996,20.996,27.344,17.090,94.238,0
1610548238.900,-27.344,28.809,32.227,0.977,50.293,0
1610548238.904,-9.766,26.367,27.344,8.789,13.672,0
1610548238.908,60.547,23.438,17.578,49.316,33.203,0
1610548238.912,110.352,25.879,19.531,76.172,69.336,0
1610548238.914,61.035,25.879,27.832,56.641,48.828,0
1610548238.918,-18.066,21.484,31.738,9.766,29.297,0
1610548238.922,-11.719,26.367,29.297,14.160,39.551,0
1610548238.926,77.148,32.227,32.715,58.594,27.344,0
1610548238.930,120.117,28.809,35.156,69.336,56.641,0
1610548238.934,72.754,29.297,33.691,62.500,37.598,0
1610548238.938,5.859,33.203,29.785,35.645,23.926,0
1610548238.941,7.324,35.156,31.738,33.203,76.172,0
1610548238.945,72.754,29.297,30.273,71.777,74.707,0
1610548238.949,122.559,20.020,19.043,89.355,78.613,0
1610548238.953,76.172,20.020,28.809,71.777,89.355,0
1610548238.957,11.230,28.320,43.457,41.992,84.961,0
1610548238.961,4.395,30.273,27.832,38.086,62.988,0
1610548238.965,54.688,22.949,17.090,62.988,33.691,0
1610548238.969,129.395,20.996,37.109,90.332,62.988,0
1610548238.973,116.699,24.902,50.781,83.984,71.289,0
1610548238.977,36.621,29.297,43.457,50.293,46.387,0
1610548238.981,14.160,38.574,35.156,48.828,54.199,0
1610548238.985,66.895,36.133,24.902,68.848,49.316,0
1610548238.988,118.652,20.020,18.066,81.543,9.277,0
1610548238.992,102.051,20.996,24.902,79.102,27.344,0
1610548238.996,33.203,26.855,32.715,46.875,59.082,0
1610548239.000,-3.418,24.902,37.109,36.133,39.551,0
1610548239.004,45.898,23.438,39.551,59.082,29.297,0
1610548239.004,116.699,23.438,42.480,93.262,-31.738,0
1610548239.008,116.211,27.832,41.992,95.703,-10.742,0
1610548239.012,39.551,27.832,48.340,56.152,21.484,0
1610548239.016,-4.883,26.367,54.199,34.180,12.207,0
1610548239.020,26.367,28.809,44.922,50.781,1.953,0
1610548239.024,100.586,27.344,35.156,95.703,80.566,0
1610548239.028,129.395,32.227,34.668,117.188,99.121,0
1610548239.031,51.270,32.227,31.738,64.453,17.578,0
1610548239.035,-29.297,22.461,25.391,11.230,-42.969,0
1610548239.039,2.441,18.555,17.578,31.738,-63.477,0
1610548239.043,94.727,19.531,32.715,69.824,-0.488,0
1610548239.047,114.746,23.438,47.852,74.707,10.254,0
1610548239.049,50.293,28.809,45.898,57.129,40.039,0
1610548239.053,-8.301,27.832,46.387,46.387,82.031,0
1610548239.057,10.254,27.344,36.621,52.246,45.410,0
1610548239.061,75.684,29.785,25.391,66.406,86.426,0
1610548239.065,113.770,27.832,25.879,68.848,128.418,0
1610548239.069,53.223,23.926,27.344,47.852,20.020,0
1610548239.073,-35.645,16.602,23.438,8.789,12.695,0
1610548239.076,-26.367,20.508,35.645,7.324,45.410,0
1610548239.080,70.801,27.832,40.039,53.223,35.156,0
1610548239.084,121.094,25.391,32.715,76.172,30.273,0
1610548239.088,57.617,32.227,35.645,51.270,25.391,0
1610548239.092,-23.438,28.809,28.809,7.324,40.039,0
1610548239.109,-20.996,27.832,33.691,10.742,14.160,0
1610548239.113,55.176,38.574,36.621,60.059,-20.508,0
1610548239.117,113.770,32.715,15.625,82.520,82.031,0
1610548239.121,59.082,21.973,11.719,47.852,59.570,0
1610548239.125,-14.648,22.461,32.227,-2.930,-29.785,0
1610548239.129,-18.066,24.414,26.367,-2.930,9.277,0
1610548239.133,37.598,23.926,17.578,35.156,44.922,0
1610548239.136,93.262,23.438,35.156,58.105,18.555,0
1610548239.140,72.266,25.391,44.434,57.617,31.250,0
1610548239.144,5.859,29.785,39.551,26.367,24.414,0
1610548239.148,-7.812,36.621,31.250,18.066,-56.152,0
1610548239.152,34.668,27.344,26.855,45.898,-21.484,0
1610548239.154,99.121,17.578,27.832,72.754,56.152,0
1610548239.158,69.336,25.879,26.367,55.664,36.621,0
1610548239.162,-0.977,32.715,25.391,15.625,67.871,0
1610548239.166,-22.461,29.297,18.555,6.348,51.270,0
1610548239.170,15.137,21.484,21.484,27.832,4.395,0
1610548239.174,80.566,20.996,30.273,69.824,41.504,0
1610548239.178,73.730,27.344,29.785,74.707,77.637,0
1610548239.181,11.719,26.367,29.785,19.531,50.293,0
1610548239.185,-26.855,30.273,34.668,-12.695,17.578,0
1610548239.189,10.742,34.668,38.086,17.090,5.371,0
1610548239.193,78.125,25.879,33.691,40.527,22.949,0
1610548239.197,86.426,30.273,32.715,37.598,59.082,0
1610548239.200,22.461,35.645,32.715,15.625,60.059,0
1610548239.204,-40.039,28.809,39.062,-8.789,-11.719,0
1610548239.208,-13.184,29.297,28.320,2.441,-26.367,0
1610548239.212,75.684,31.738,21.484,48.828,20.508,0
1610548239.216,93.262,27.344,35.156,65.918,57.129,0
1610548239.220,16.602,31.738,41.016,40.039,58.594,0
1610548239.224,-30.762,44.434,35.645,19.043,61.035,0
1610548239.227,0.000,34.180,19.531,12.207,50.781,0
1610548239.231,61.523,18.066,15.625,35.156,42.480,0
1610548239.235,96.191,20.508,18.066,59.570,-6.836,0
1610548239.239,36.621,29.297,21.484,32.227,-49.805,0
1610548239.243,-21.484,32.227,41.504,0.000,3.418,0
1610548239.244,-13.184,38.086,47.363,7.324,14.160,0
1610548239.248,51.758,34.180,32.227,35.645,14.648,0
1610548239.252,105.957,30.762,17.090,63.477,49.805,0
1610548239.256,58.594,37.598,31.738,49.805,52.246,0
1610548239.260,-29.297,37.109,51.270,10.254,-10.254,0
1610548239.264,-34.668,26.367,41.992,4.883,49.805,0
1610548239.268,42.969,18.066,28.809,33.203,7.324,0
1610548239.271,85.449,14.160,27.344,53.223,-56.641,0
1610548239.275,56.152,29.297,35.156,46.875,54.688,0
1610548239.279,-9.277,37.598,37.598,21.484,21.973,0
1610548239.283,-36.133,27.832,31.250,-14.160,-43.945,0
1610548239.287,30.273,28.320,33.691,18.555,7.812,0
1610548239.289,103.027,34.668,26.855,65.430,41.992,0
1610548239.293,57.129,37.109,14.160,39.551,27.832,0
1610548239.297,-15.137,37.109,33.203,0.977,37.598,0
1610548239.301,-27.832,33.203,40.527,-1.465,63.477,0
1610548239.305,25.879,29.297,34.668,34.668,43.945,0
1610548239.309,98.633,23.926,30.273,62.500,52.734,0
1610548239.313,72.266,22.461,19.043,50.781,93.750,0
1610548239.316,-5.859,28.809,14.648,9.277,60.547,0
1610548239.320,-32.227,35.645,23.926,-14.160,22.461,0
1610548239.324,14.160,37.598,36.621,13.672,0.000,0
1610548239.328,76.172,30.273,38.574,39.551,-1.953,0
1610548239.332,82.520,27.344,31.738,42.969,27.832,0
1610548239.334,-2.930,31.250,20.020,16.113,41.016,0
1610548239.338,-48.828,33.691,16.602,-7.812,30.273,0
1610548239.342,20.508,28.809,26.855,13.184,28.320,0
1610548239.346,101.074,25.391,34.180,44.922,35.156,0
1610548239.350,83.984,33.691,32.227,52.734,46.387,0
1610548239.354,6.836,33.691,27.344,38.574,41.504,0
1610548239.358,-35.645,24.414,24.902,-1.953,65.430,0
1610548239.361,-8.789,25.391,31.250,-6.836,83.984,0
1610548239.365,62.500,30.762,36.621,36.621,81.055,0
1610548239.369,74.707,34.668,36.621,51.758,76.660,0
1610548239.373,0.000,32.227,27.344,12.207,52.734,0
1610548239.377,-42.480,32.227,21.973,-13.672,8.789,0
1610548239.379,-7.324,33.691,29.785,-1.465,34.180,0
1610548239.383,53.711,26.855,32.715,35.156,75.195,0
1610548239.387,82.031,26.855,29.297,54.199,38.086,0
1610548239.391,20.996,28.320,31.250,18.066,27.832,0
1610548239.395,-47.852,25.391,33.203,-12.695,19.531,0
1610548239.399,-27.344,24.902,27.832,1.465,48.340,0
1610548239.403,49.805,25.391,20.020,29.297,109.863,0
1610548239.406,77.637,26.855,18.555,41.992,32.715,0
1610548239.410,26.855,31.250,19.531,23.926,41.504,0
1610548239.414,-20.996,33.691,21.484,-13.672,52.734,0
1610548239.418,-14.648,31.250,24.902,-16.602,17.578,0
1610548239.422,47.363,30.762,29.297,24.414,19.043,0
1610548239.425,84.961,27.832,33.691,39.551,38.086,0
1610548239.429,33.203,27.344,31.250,16.602,58.105,0
1610548239.433,-45.410,31.250,27.832,-18.066,48.340,0
1610548239.437,-69.336,25.391,29.785,-38.086,-3.906,0
1610548239.441,-6.836,22.949,31.738,-2.930,-5.371,0
1610548239.445,56.641,27.344,29.785,25.879,22.461,0
1610548239.449,18.066,30.762,27.344,2.930,1.953,0
1610548239.452,-57.129,37.598,32.227,-39.062,-36.621,0
1610548239.456,-80.566,34.180,36.133,-56.152,-14.160,0
1610548239.460,-43.945,22.949,23.926,-37.598,5.371,0
1610548239.464,7.324,19.531,21.973,-16.602,48.828,0
1610548239.468,-27.344,23.926,29.785,-35.156,52.246,0
1610548239.484,-111.328,27.344,26.855,-85.938,12.207,0
1610548239.488,-133.789,29.785,24.902,-105.957,-54.688,0
1610548239.492,-88.867,28.809,22.461,-86.426,-69.824,0
1610548239.496,-40.039,27.832,21.484,-60.547,40.039,0
1610548239.500,-65.430,27.344,21.973,-75.195,28.809,0
1610548239.504,-129.883,27.832,19.043,-116.211,45.898,0
1610548239.508,-173.828,23.438,17.578,-143.066,79.590,0
1610548239.511,-137.695,17.090,18.066,-125.977,35.645,0
1610548239.515,-45.898,22.461,25.391,-78.613,81.055,0
1610548239.519,-55.664,26.855,28.320,-73.242,56.152,0
1610548239.523,-134.766,19.531,22.461,-109.375,70.312,0
1610548239.527,-167.969,12.207,21.484,-135.742,79.102,0
1610548239.529,-130.859,13.184,32.715,-110.352,63.965,0
1610548239.533,-36.133,24.902,39.551,-58.594,39.062,0
1610548239.537,-31.250,28.320,31.738,-62.988,-19.531,0
1610548239.541,-114.746,20.508,33.691,-93.262,-30.273,0
1610548239.545,-137.207,20.508,47.852,-109.863,-38.574,0
1610548239.549,-109.863,19.043,38.574,-87.402,-66.895,0
1610548239.553,-36.621,13.184,20.996,-35.156,0.488,0
