timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610634938.234,37.109,36.621,33.203,63.965,64.941,0
1610634938.238,64.941,34.180,30.762,90.820,-14.648,0
1610634938.242,38.574,34.668,31.250,49.805,-24.414,0
1610634938.246,-7.324,30.762,24.414,0.000,34.668,0
1610634938.250,-23.926,25.879,17.578,-5.371,5.859,0
1610634938.254,29.297,35.645,12.207,46.387,1.953,0
1610634938.258,96.191,41.992,14.160,92.285,3.418,0
1610634938.261,51.270,38.086,16.602,64.941,62.988,0
1610634938.265,-12.207,32.715,19.043,-7.324,30.762,0
1610634938.269,-34.668,32.715,29.785,-28.809,-20.508,0
1610634938.273,-6.348,28.809,28.320,26.367,44.922,0
1610634938.277,67.871,39.062,28.320,67.383,109.863,0
1610634938.279,40.527,49.316,24.414,51.270,111.816,0
1610634938.283,-4.883,37.109,26.855,18.066,41.992,0
1610634938.287,10.254,52.246,36.133,-8.789,13.184,0
1610634938.291,37.598,49.805,34.180,38.574,15.137,0
1610634938.295,74.707,27.832,20.508,112.793,18.066,0
1610634938.299,47.363,26.367,2.441,96.191,23.926,0
1610634938.303,-10.254,35.156,13.184,-10.742,-38.574,0
1610634938.306,-25.391,31.250,6.348,-51.758,-13.672,0
1610634938.310,-2.441,31.250,5.859,0.488,46.875,0
1610634938.314,44.434,37.109,32.715,53.223,18.555,0
1610634938.318,67.383,32.715,18.555,59.570,11.719,0
1610634938.322,16.602,36.133,17.090,11.719,-51.270,0
1610634938.324,-26.367,41.992,41.016,-21.484,-62.500,0
1610634938.328,0.977,33.203,43.457,0.488,-10.254,0
1610634938.332,46.875,29.785,35.156,53.711,69.824,0
1610634938.336,44.434,43.457,10.742,74.707,150.879,0
1610634938.340,21.973,28.809,8.789,21.973,74.219,0
1610634938.344,-15.137,26.367,26.367,-50.781,49.805,0
1610634938.348,13.184,39.551,22.461,-11.230,50.293,0
1610634938.351,51.758,26.855,20.020,48.340,53.711,0
1610634938.355,60.059,26.367,25.879,60.547,87.891,0
1610634938.359,34.180,38.574,16.113,38.574,25.391,0
1610634938.363,-19.043,36.621,12.695,-11.230,-46.387,0
1610634938.367,-15.137,42.480,18.066,-0.488,-15.137,0
1610634938.369,37.598,43.457,15.137,48.340,48.340,0
1610634938.373,92.773,40.039,21.484,81.055,69.336,0
1610634938.377,52.246,47.363,39.062,48.340,17.090,0
1610634938.381,-17.578,44.922,49.805,-11.230,0.977,0
1610634938.385,-22.949,49.805,51.270,-8.301,12.695,0
1610634938.389,52.246,42.969,49.805,59.082,7.324,0
1610634938.393,91.797,29.297,47.852,68.359,16.113,0
1610634938.396,14.160,25.391,45.410,28.809,61.035,0
1610634938.400,-33.203,27.832,44.922,-5.371,39.062,0
1610634938.404,-7.324,36.621,50.293,-20.508,-21.973,0
1610634938.408,57.129,33.691,56.152,41.504,43.457,0
1610634938.412,89.355,37.109,53.223,90.332,68.359,0
1610634938.416,46.387,40.527,50.781,60.059,41.016,0
1610634938.420,6.836,34.180,55.176,0.977,63.965,0
1610634938.424,-9.277,34.180,52.246,-18.066,21.973,0
1610634938.428,24.902,41.016,44.922,17.578,12.207,0
1610634938.432,93.262,41.992,44.434,80.566,32.227,0
1610634938.436,79.590,46.875,55.664,77.637,33.203,0
1610634938.440,1.953,52.246,51.270,11.719,61.523,0
1610634938.443,-17.090,44.434,41.016,-16.602,16.602,0
1610634938.447,15.137,39.062,33.691,29.297,16.602,0
1610634938.451,59.082,43.457,22.461,69.824,11.230,0
1610634938.455,57.129,38.574,29.785,45.410,-11.230,0
1610634938.459,-2.441,38.086,44.922,4.395,56.152,0
1610634938.475,-31.250,40.039,49.316,-10.254,66.895,0
1610634938.479,14.160,43.945,50.293,20.020,34.668,0
1610634938.483,86.426,47.363,51.758,71.289,57.617,0
1610634938.487,67.383,36.133,51.270,75.684,51.270,0
1610634938.491,0.000,39.551,45.898,21.973,-20.508,0
1610634938.495,0.977,46.875,40.039,-13.184,-43.945,0
