timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610547100.396,-191.895,22.461,-0.977,-120.117,-1000.000,0
1610547100.400,152.344,12.207,4.395,103.027,-657.227,0
1610547100.404,384.277,12.207,7.812,213.867,47.363,0
1610547100.408,97.168,10.254,3.906,57.129,-85.938,0
1610547100.412,-247.070,14.648,0.000,-155.273,-765.625,0
1610547100.416,-218.262,17.578,3.418,-125.977,-1000.000,0
1610547100.420,104.004,10.254,-2.930,96.191,-731.445,0
1610547100.423,376.465,4.395,-12.695,212.891,-9.766,0
1610547100.427,155.273,9.766,-2.930,76.660,-3.906,0
1610547100.431,-204.590,22.461,9.277,-127.930,-706.543,0
1610547100.435,-216.309,27.344,8.789,-128.418,-1000.000,0
1610547100.439,80.078,17.090,0.977,72.266,-784.180,0
1610547100.442,357.910,2.930,-4.883,212.402,-65.918,0
1610547100.446,179.199,7.812,-0.488,116.211,71.777,0
1610547100.450,-187.500,21.973,7.812,-97.656,-645.020,0
1610547100.454,-241.699,22.461,16.602,-152.832,-1000.000,0
1610547100.458,31.250,18.555,15.137,44.434,-835.938,0
1610547100.462,343.262,9.277,-12.695,224.121,-152.344,0
1610547100.466,239.258,4.395,-24.414,152.832,105.469,0
1610547100.469,-144.043,11.230,7.812,-84.473,-582.031,0
1610547100.473,-272.461,20.508,22.461,-180.664,-1000.000,0
1610547100.477,-31.738,20.508,10.254,-1.953,-870.605,0
1610547100.481,323.242,13.672,2.930,201.660,-244.141,0
1610547100.485,272.461,16.602,8.789,164.062,152.832,0
1610547100.501,-107.422,25.391,18.066,-65.918,-468.262,0
1610547100.505,-277.832,23.438,15.625,-180.176,-993.164,0
1610547100.509,-78.125,17.090,11.719,-16.602,-919.922,0
1610547100.513,286.621,10.254,8.789,188.965,-333.008,0
1610547100.517,305.664,9.766,8.301,164.062,168.457,0
1610547100.521,-72.266,24.902,19.531,-40.039,-405.273,0
1610547100.525,-276.855,34.180,29.297,-172.852,-979.004,0
1610547100.528,-111.816,19.043,15.625,-60.059,-959.961,0
1610547100.532,248.535,8.301,9.766,164.551,-451.660,0
