timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610554189.403,-934.570,62.012,655.273,279.785,-150.879,0
1610554189.407,592.773,61.523,493.164,166.992,-100.586,0
1610554189.411,-599.121,53.711,-75.195,-115.234,-318.359,0
1610554189.415,-987.793,45.410,-359.375,-198.242,-530.762,0
1610554189.419,-43.457,47.852,65.430,54.199,-434.570,0
1610554189.423,-997.559,53.711,497.070,270.508,-163.086,0
1610554189.427,702.637,60.547,411.621,168.457,-121.094,0
1610554189.430,-471.191,59.082,64.453,-113.770,-309.082,0
1610554189.434,-1000.000,47.363,-313.477,-230.957,-532.227,0
1610554189.438,-240.234,48.828,-78.125,-13.184,-526.367,0
1610554189.442,907.715,59.082,573.730,254.395,-243.164,0
1610554189.446,756.836,61.523,632.324,196.777,-127.930,0
1610554189.448,-403.809,55.176,111.816,-71.777,-303.223,0
1610554189.452,-1000.000,43.945,-400.879,-228.027,-599.121,0
1610554189.456,-413.574,45.410,-145.508,-54.199,-632.324,0
1610554189.460,787.598,52.734,541.504,242.188,-362.793,0
1610554189.464,835.449,57.129,622.559,218.262,-232.422,0
1610554189.468,-295.410,53.711,100.586,-50.293,-366.699,0
1610554189.472,-1000.000,44.922,-380.859,-232.422,-647.461,0
1610554189.475,-532.715,46.875,-115.234,-90.332,-669.922,0
1610554189.479,676.758,51.758,415.039,202.148,-436.035,0
1610554189.483,934.082,50.293,471.680,211.426,-312.500,0
1610554189.487,-90.332,46.875,241.211,-32.715,-380.859,0
1610554189.491,-1000.000,41.016,-226.074,-248.047,-631.836,0
1610554189.494,-625.977,39.062,-304.199,-151.367,-760.742,0
1610554189.498,583.984,42.969,290.039,145.996,-550.781,0
1610554189.502,-989.746,44.434,610.352,212.402,-347.168,0
1610554189.506,54.199,41.504,336.914,7.812,-378.418,0
1610554189.510,-961.426,32.227,-312.012,-243.164,-656.738,0
1610554189.514,-721.191,34.668,-425.293,-163.086,-795.410,0
1610554189.518,436.523,47.363,242.188,143.555,-585.449,0
1610554189.521,-934.082,54.199,691.895,232.910,-350.098,0
1610554189.525,233.887,47.363,308.105,49.805,-372.559,0
1610554189.529,-879.883,34.668,-328.125,-228.027,-644.531,0
1610554189.533,-804.688,34.668,-257.324,-206.543,-758.301,0
1610554189.537,301.758,42.480,245.605,88.867,-583.496,0
1610554189.538,-914.551,46.875,596.680,238.770,-367.188,0
1610554189.542,402.832,47.363,443.359,90.332,-351.562,0
1610554189.546,-767.090,37.109,-105.469,-208.496,-577.148,0
