timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610547363.110,154.785,33.203,142.090,121.094,74.219,0
1610547363.114,122.070,31.738,149.414,99.121,69.824,0
1610547363.118,-39.551,29.297,132.812,-19.531,25.879,0
1610547363.122,-94.238,27.832,81.055,-83.008,65.430,0
1610547363.126,-9.766,29.785,73.242,-7.812,89.355,0
1610547363.130,128.418,29.785,27.832,107.422,67.383,0
1610547363.134,130.859,27.832,45.898,105.957,35.156,0
1610547363.137,-16.602,25.391,143.066,-16.602,13.184,0
1610547363.141,-98.633,26.855,79.102,-91.797,28.320,0
1610547363.145,-35.156,32.715,-169.922,-28.809,41.016,0
1610547363.149,110.352,28.809,-84.961,83.496,30.273,0
1610547363.153,140.625,31.738,214.355,106.445,15.625,0
1610547363.155,-2.441,32.227,177.734,8.789,10.254,0
1610547363.159,-94.238,20.020,68.848,-82.031,21.484,0
1610547363.163,-42.969,24.414,46.875,-30.762,-31.250,0
1610547363.167,101.562,34.180,63.965,88.379,-69.824,0
1610547363.171,149.414,31.738,135.254,111.816,63.965,0
1610547363.175,12.207,28.809,126.465,17.090,118.652,0
1610547363.179,-96.680,27.344,32.227,-82.031,57.129,0
1610547363.182,-58.105,26.367,72.754,-42.969,32.227,0
1610547363.186,84.961,28.809,-34.668,79.590,-8.301,0
1610547363.190,148.438,24.414,-41.504,112.793,44.922,0
1610547363.194,32.715,30.762,219.238,30.762,64.453,0
1610547363.198,-78.125,38.086,162.598,-65.430,44.922,0
1610547363.200,-69.336,31.738,5.859,-53.223,22.461,0
1610547363.204,64.453,31.250,20.996,56.641,-11.719,0
1610547363.208,151.367,27.344,106.934,115.723,-2.930,0
1610547363.212,42.480,22.461,107.422,43.457,-47.852,0
1610547363.216,-84.961,34.668,25.879,-58.594,-11.230,0
1610547363.220,-75.684,37.109,-44.434,-62.500,11.719,0
1610547363.224,45.410,21.484,3.418,41.992,-14.648,0
1610547363.227,154.297,23.926,116.699,125.000,54.688,0
1610547363.231,68.359,32.227,39.062,67.871,77.637,0
1610547363.235,-74.707,33.691,64.941,-52.246,50.293,0
1610547363.239,-84.961,28.320,188.477,-73.242,114.746,0
1610547363.243,24.414,24.902,86.914,27.832,124.512,0
1610547363.246,147.949,32.227,56.152,118.652,74.707,0
1610547363.250,90.332,32.715,173.828,83.008,59.082,0
1610547363.254,-59.570,22.461,142.090,-41.992,12.207,0
1610547363.258,-91.309,23.438,-58.105,-82.520,22.949,0
1610547363.262,15.137,30.762,-83.008,17.578,12.207,0
1610547363.266,140.625,28.809,12.695,115.234,13.184,0
1610547363.270,110.840,30.273,106.934,98.145,9.766,0
1610547363.273,-38.574,32.715,52.246,-24.414,5.859,0
1610547363.277,-97.168,32.715,-136.719,-83.008,-38.574,0
1610547363.281,-7.812,35.156,41.504,3.906,-46.875,0
1610547363.285,126.953,26.855,146.484,103.516,48.340,0
1610547363.289,115.723,19.531,137.207,81.055,77.637,0
1610547363.290,-21.484,24.902,166.992,-23.926,97.656,0
1610547363.294,-89.355,30.762,78.125,-71.777,57.617,0
1610547363.298,-21.973,28.809,-20.508,-14.160,-12.207,0
1610547363.302,115.234,18.066,-19.531,89.844,4.395,0
1610547363.306,127.441,22.461,96.191,113.770,74.219,0
1610547363.310,-12.207,25.391,88.379,7.812,86.914,0
1610547363.314,-100.586,23.438,-56.152,-81.543,18.555,0
1610547363.317,-37.598,35.156,-224.609,-27.344,-29.785,0
1610547363.321,103.027,37.598,-153.320,84.473,-15.625,0
1610547363.325,138.184,32.227,144.043,108.887,47.852,0
1610547363.329,6.348,34.668,148.438,13.184,70.801,0
1610547363.333,-105.469,27.832,-8.301,-88.379,-3.418,0
1610547363.335,-63.477,21.973,34.180,-43.945,34.180,0
1610547363.339,82.520,22.461,82.520,73.730,96.191,0
1610547363.343,146.484,22.461,40.527,108.398,92.773,0
1610547363.347,28.809,20.996,63.477,23.926,64.941,0
1610547363.351,-87.891,19.043,33.691,-75.195,13.672,0
1610547363.355,-67.871,30.762,-44.434,-46.875,33.691,0
1610547363.359,71.289,33.691,-139.160,66.895,39.551,0
1610547363.362,167.969,32.227,-97.168,123.535,29.297,0
1610547363.366,48.340,34.668,143.066,40.039,20.508,0
1610547363.370,-96.191,32.715,58.594,-76.172,-44.922,0
1610547363.374,-81.543,35.645,-56.152,-65.430,-15.137,0
1610547363.378,52.734,32.227,39.062,48.828,49.805,0
1610547363.380,153.320,24.414,107.422,115.723,-5.371,0
1610547363.384,63.477,25.391,146.973,49.316,13.184,0
1610547363.388,-77.148,25.879,93.262,-48.828,48.828,0
1610547363.392,-84.961,20.508,17.578,-61.523,7.812,0
1610547363.396,28.809,29.785,20.020,24.414,-6.836,0
1610547363.400,149.414,43.457,9.277,110.352,45.898,0
1610547363.404,88.379,41.016,-47.852,69.336,100.098,0
1610547363.407,-69.824,31.250,6.836,-53.711,77.637,0
1610547363.411,-99.121,23.926,64.453,-85.449,12.695,0
1610547363.415,20.020,27.344,-2.441,21.484,23.926,0
1610547363.419,151.367,34.668,18.555,121.094,51.270,0
1610547363.423,106.934,37.109,77.148,89.355,38.574,0
1610547363.426,-45.410,41.504,76.660,-25.391,2.441,0
1610547363.430,-93.750,38.574,-46.875,-73.730,-12.695,0
1610547363.434,8.789,32.227,-99.121,13.184,2.441,0
1610547363.438,145.020,30.762,68.359,120.605,51.758,0
1610547363.442,128.418,38.574,145.508,113.770,49.316,0
1610547363.446,-23.926,43.457,8.301,-5.859,56.641,0
1610547363.450,-90.820,41.504,-112.305,-76.660,83.496,0
1610547363.453,-9.766,44.434,28.320,-11.719,54.199,0
1610547363.457,130.859,45.410,41.016,96.680,14.160,0
