timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610634685.975,48.340,36.621,52.734,49.316,-43.457,0
1610634685.979,89.844,39.551,35.645,80.078,31.250,0
1610634685.983,59.570,37.109,26.367,55.176,16.113,0
1610634685.987,-20.020,41.992,44.922,12.695,-50.781,0
1610634685.991,-8.301,53.223,62.988,3.418,-41.016,0
1610634685.995,62.500,45.410,53.223,55.176,33.203,0
1610634685.999,104.492,39.062,44.434,92.773,93.750,0
1610634686.002,56.641,55.664,73.242,76.660,38.086,0
1610634686.006,-25.391,52.246,66.406,12.207,-24.902,0
1610634686.010,-46.875,29.785,40.527,-25.391,22.949,0
1610634686.014,14.648,32.227,43.945,29.297,-30.762,0
1610634686.018,105.957,41.992,44.922,85.938,17.090,0
1610634686.021,76.172,44.434,37.109,73.242,45.898,0
1610634686.025,-7.812,43.457,28.320,9.766,-44.434,0
1610634686.029,-25.391,40.527,41.504,-11.719,-48.828,0
1610634686.033,34.668,48.828,56.641,42.480,-72.266,0
1610634686.037,105.957,51.270,57.617,85.938,-67.871,0
1610634686.041,71.777,39.551,47.852,65.430,-1.465,0
1610634686.045,-12.207,41.504,47.363,12.695,-62.988,0
1610634686.048,-17.090,51.758,52.734,-15.137,-42.480,0
1610634686.052,15.625,52.734,49.805,16.113,33.691,0
1610634686.056,84.473,39.551,43.945,57.617,20.996,0
1610634686.060,97.656,31.738,37.109,68.848,29.785,0
1610634686.064,10.742,34.180,36.621,20.508,20.020,0
1610634686.080,-19.043,46.387,49.805,-1.465,-27.832,0
1610634686.084,28.320,65.918,64.941,47.852,-51.270,0
1610634686.088,75.195,49.805,43.457,69.824,4.883,0
1610634686.092,60.059,34.180,30.273,74.707,34.180,0
1610634686.096,6.348,46.387,42.969,45.898,-21.484,0
1610634686.100,-35.156,44.922,39.062,-23.438,-49.316,0
1610634686.104,-9.277,43.945,44.434,-5.859,1.465,0
1610634686.107,70.312,55.664,51.270,68.848,-8.789,0
1610634686.111,104.492,54.688,44.434,93.750,2.930,0
1610634686.115,37.109,40.527,33.691,41.504,-18.066,0
1610634686.119,-21.484,39.062,34.668,-8.301,23.926,0
1610634686.123,8.301,42.480,41.504,8.301,61.035,0
1610634686.125,50.781,43.945,31.250,60.547,56.152,0
1610634686.129,100.586,59.082,34.180,92.773,40.039,0
