timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610546873.754,337.891,42.969,332.031,694.824,-89.844,0
1610546873.758,-46.387,48.828,55.176,-384.766,-123.047,0
1610546873.762,-257.812,51.758,-368.652,-1000.000,-195.312,0
1610546873.766,-106.445,53.223,-204.590,-649.414,-139.648,0
1610546873.769,262.207,50.293,268.555,451.660,-49.805,0
1610546873.773,348.633,47.363,360.352,818.848,-6.836,0
1610546873.777,-15.625,52.246,110.840,-184.570,29.297,0
1610546873.781,-283.203,52.246,-167.969,-1000.000,-22.461,0
1610546873.785,-176.758,50.781,-143.555,-687.988,-48.828,0
1610546873.787,194.336,49.805,136.230,445.312,-56.641,0
1610546873.791,360.840,49.805,331.543,957.520,-93.262,0
1610546873.795,28.809,53.711,155.273,35.645,-97.168,0
1610546873.799,-282.715,51.758,-199.707,-948.242,-90.332,0
1610546873.803,-195.801,49.316,-232.422,-770.020,-88.867,0
1610546873.807,155.273,46.875,73.730,312.500,-54.199,0
1610546873.811,374.023,45.898,320.801,965.820,-45.898,0
1610546873.814,100.586,51.758,176.758,169.434,-43.945,0
1610546873.818,-247.559,49.805,-235.840,-872.070,-54.199,0
1610546873.822,-221.680,48.340,-309.570,-853.027,-63.477,0
1610546873.826,102.051,49.805,114.746,165.039,-47.363,0
1610546873.830,362.305,43.945,383.789,-993.652,-41.016,0
1610546873.832,128.418,46.875,222.656,415.039,-69.336,0
1610546873.836,-255.859,53.711,-96.191,-725.586,-67.871,0
1610546873.840,-264.160,56.641,-194.336,-877.441,-27.832,0
1610546873.844,58.594,52.246,26.367,157.227,-51.270,0
1610546873.848,357.422,49.805,305.176,-942.383,-64.453,0
1610546873.852,185.547,52.246,247.559,653.809,-74.707,0
1610546873.856,-208.496,54.688,-63.965,-527.344,-25.391,0
1610546873.859,-281.738,49.805,-251.953,-936.035,-7.812,0
1610546873.863,4.395,41.504,-156.250,-2.441,-48.828,0
1610546873.867,336.426,42.969,253.906,982.910,-39.062,0
1610546873.871,222.168,47.852,379.395,703.125,-7.324,0
1610546873.875,-174.316,51.270,-29.785,-462.402,-48.828,0
1610546873.878,-287.598,50.293,-269.043,-1000.000,-70.312,0
1610546873.882,-50.293,42.480,-41.504,-208.496,-27.832,0
1610546873.886,287.598,34.180,264.648,881.836,-78.125,0
1610546873.890,232.422,37.109,292.480,824.707,-112.305,0
1610546873.894,-164.062,47.852,28.809,-276.367,-52.246,0
1610546873.898,-324.219,50.293,-253.906,-994.141,-12.207,0
1610546873.902,-114.258,47.363,-104.492,-269.043,-43.457,0
1610546873.905,265.625,40.039,173.340,833.496,-88.379,0
1610546873.909,282.227,41.016,256.348,896.484,-86.426,0
1610546873.913,-116.211,51.270,120.605,-119.629,-49.316,0
1610546873.917,-322.266,49.316,-232.422,-994.629,-99.121,0
1610546873.921,-142.578,45.410,-187.500,-437.500,-135.742,0
1610546873.924,229.492,42.969,215.332,728.516,-71.289,0
1610546873.928,308.105,41.016,386.230,967.285,-17.090,0
1610546873.932,-56.641,44.922,106.934,41.504,-4.883,0
1610546873.936,-314.941,44.434,-255.371,-950.684,-10.742,0
1610546873.940,-193.359,41.016,-183.105,-565.918,-45.898,0
1610546873.944,175.781,38.574,152.832,626.465,-65.918,0
1610546873.948,330.566,33.691,286.621,-965.820,-61.035,0
1610546873.951,-1.465,37.109,52.246,215.332,-30.762,0
1610546873.955,-311.523,42.480,-214.844,-870.117,-66.895,0
1610546873.959,-227.539,42.480,-203.613,-678.223,-188.965,0
1610546873.963,135.742,40.527,108.398,504.395,-108.398,0
1610546873.967,342.285,38.086,326.172,-931.152,-62.500,0
1610546873.968,57.617,41.992,161.621,333.496,-157.227,0
1610546873.972,-274.902,43.457,-164.062,-798.340,-104.492,0
1610546873.976,-231.934,37.109,-256.348,-758.301,-45.410,0
1610546873.980,109.375,33.691,40.527,382.324,-58.105,0
1610546873.984,358.398,38.086,321.289,-909.668,-101.074,0
1610546873.988,112.305,43.945,205.078,501.465,-82.520,0
1610546873.992,-254.395,45.898,-226.074,-680.176,-62.500,0
1610546873.995,-269.531,51.270,-337.891,-837.891,-34.180,0
1610546873.999,38.086,48.340,83.008,256.348,2.930,0
1610546874.003,344.238,39.551,339.844,-923.828,-42.969,0
1610546874.007,166.504,44.922,242.676,644.043,-69.336,0
1610546874.011,-225.098,50.781,-78.125,-533.203,-64.453,0
1610546874.012,-285.645,46.387,-244.629,-891.602,-87.891,0
1610546874.016,2.441,42.480,-18.555,128.418,-89.844,0
1610546874.020,323.730,36.621,287.109,-964.355,-20.508,0
1610546874.024,188.477,37.598,271.484,714.844,-52.246,0
1610546874.028,-208.008,40.039,-61.035,-441.895,-98.633,0
1610546874.032,-307.129,32.715,-318.359,-976.074,-81.055,0
1610546874.036,-42.480,28.320,-221.191,-86.914,-71.289,0
1610546874.039,317.383,29.297,203.125,943.848,-30.273,0
1610546874.043,239.746,34.668,358.887,804.688,-18.066,0
