timestamp,1,2,3,af3,f7,f3,fc5,t7,p7,o1,o2,p8,t8,fc6
93480,83.0,0.0,373.0,4524.102564102564,4187.6923076923085,4344.102564102564,4833.846153846154,3784.615384615385,4212.820512820514,4248.717948717949,4109.2307692307695,4387.179487179487,4080.5128205128212,4230.769230769231
93491,84.0,0.0,0.0,4518.974358974359,4184.102564102564,4342.564102564103,4832.307692307693,3781.538461538462,4210.769230769231,4244.615384615385,4106.666666666667,4387.6923076923085,4076.9230769230776,4233.333333333334
93491,85.0,0.0,292.0,4507.6923076923085,4178.974358974359,4343.589743589744,4834.871794871796,3782.0512820512827,4217.948717948719,4252.820512820514,4124.102564102564,4393.846153846154,4078.461538461539,4230.769230769231
93491,86.0,0.0,492.0,4517.948717948719,4186.153846153847,4351.282051282052,4838.974358974359,3786.1538461538466,4229.2307692307695,4267.6923076923085,4148.717948717949,4405.128205128206,4094.8717948717954,4230.256410256411
93491,87.0,0.0,373.0,4526.666666666667,4195.384615384616,4356.410256410257,4840.512820512821,3788.205128205129,4233.846153846154,4270.256410256411,4153.333333333334,4411.282051282052,4105.128205128206,4234.871794871796
93491,88.0,0.0,0.0,4510.256410256411,4192.820512820514,4356.410256410257,4841.025641025642,3785.1282051282055,4229.74358974359,4264.615384615385,4138.461538461539,4407.6923076923085,4100.000000000001,4235.384615384616
93491,89.0,0.0,292.0,4508.205128205129,4189.2307692307695,4354.871794871796,4840.512820512821,3787.1794871794878,4227.6923076923085,4263.076923076924,4129.2307692307695,4398.461538461539,4094.358974358975,4230.769230769231
93491,90.0,0.0,492.0,4537.435897435898,4195.8974358974365,4355.8974358974365,4845.128205128206,3790.7692307692314,4228.717948717949,4263.589743589744,4133.333333333334,4399.48717948718,4098.461538461539,4231.794871794872
93491,91.0,0.0,373.0,4541.025641025642,4197.948717948719,4360.512820512821,4847.6923076923085,3790.7692307692314,4228.717948717949,4264.615384615385,4140.512820512821,4406.153846153847,4099.48717948718,4234.358974358975
93492,92.0,0.0,0.0,4517.948717948719,4190.769230769231,4362.564102564103,4841.025641025642,3790.2564102564106,4233.846153846154,4266.666666666667,4140.512820512821,4402.564102564103,4093.8461538461543,4233.333333333334
93492,93.0,0.0,292.0,4516.410256410257,4189.74358974359,4360.000000000001,4840.000000000001,3791.2820512820517,4230.769230769231,4262.051282051282,4134.358974358975,4398.974358974359,4091.2820512820517,4231.794871794872
93492,94.0,0.0,492.0,4518.461538461539,4190.769230769231,4356.410256410257,4842.564102564103,3790.7692307692314,4223.589743589744,4257.948717948719,4130.256410256411,4400.000000000001,4095.8974358974365,4230.769230769231
93492,95.0,0.0,373.0,4511.282051282052,4189.2307692307695,4356.923076923077,4838.974358974359,3788.205128205129,4231.794871794872,4263.589743589744,4135.8974358974365,4398.974358974359,4107.179487179487,4231.794871794872
93492,96.0,0.0,0.0,4522.051282051282,4191.794871794872,4361.538461538462,4841.538461538462,3787.692307692308,4238.461538461539,4267.179487179487,4144.102564102564,4397.948717948719,4117.435897435898,4232.307692307693
93492,97.0,0.0,292.0,4534.871794871796,4194.871794871796,4364.615384615385,4845.641025641026,3786.1538461538466,4232.307692307693,4264.102564102564,4141.538461538462,4403.076923076924,4125.128205128206,4230.256410256411
93492,98.0,0.0,492.0,4523.589743589744,4194.871794871796,4364.615384615385,4843.589743589744,3783.589743589744,4226.666666666667,4262.051282051282,4135.8974358974365,4406.666666666667,4128.205128205129,4231.282051282052
93492,99.0,0.0,373.0,4516.410256410257,4195.8974358974365,4369.743589743591,4844.102564102564,3785.1282051282055,4223.589743589744,4269.2307692307695,4138.974358974359,4407.179487179487,4130.769230769231,4233.846153846154
93492,100.0,0.0,0.0,4526.666666666667,4195.384615384616,4373.333333333334,4846.153846153847,3783.589743589744,4224.102564102564,4276.410256410257,4145.128205128206,4407.6923076923085,4132.307692307693,4232.307692307693
93493,101.0,0.0,292.0,4528.717948717949,4191.282051282052,4364.615384615385,4844.102564102564,3781.538461538462,4231.794871794872,4272.820512820514,4140.000000000001,4401.025641025642,4124.615384615385,4230.256410256411
93493,102.0,0.0,492.0,4521.538461538462,4190.256410256411,4360.000000000001,4836.923076923077,3782.564102564103,4226.153846153847,4266.666666666667,4128.205128205129,4396.923076923077,4117.435897435898,4228.717948717949
93493,103.0,0.0,373.0,4515.384615384616,4187.6923076923085,4361.025641025642,4835.8974358974365,3783.076923076924,4207.6923076923085,4261.538461538462,4121.025641025642,4396.923076923077,4113.846153846154,4228.205128205129
93493,104.0,0.0,0.0,4499.48717948718,4178.974358974359,4358.461538461539,4836.410256410257,3783.589743589744,4211.282051282052,4258.974358974359,4122.051282051282,4392.307692307693,4106.153846153847,4229.74358974359
93494,105.0,0.0,292.0,4502.564102564103,4182.051282051282,4366.666666666667,4836.410256410257,3785.1282051282055,4231.282051282052,4263.589743589744,4133.333333333334,4394.358974358975,4109.2307692307695,4230.769230769231
93494,106.0,0.0,492.0,4539.48717948718,4196.410256410257,4376.923076923077,4845.128205128206,3788.205128205129,4231.282051282052,4266.153846153847,4136.923076923077,4401.538461538462,4123.076923076924,4230.769230769231
93494,107.0,0.0,373.0,4550.769230769231,4197.435897435898,4375.8974358974365,4846.666666666667,3787.1794871794878,4218.974358974359,4262.564102564103,4130.256410256411,4403.076923076924,4126.666666666667,4229.74358974359
93494,108.0,0.0,0.0,4516.410256410257,4188.717948717949,4377.435897435898,4843.076923076924,3784.1025641025644,4213.846153846154,4260.512820512821,4134.358974358975,4404.102564102564,4124.102564102564,4229.74358974359
93494,109.0,0.0,292.0,4490.769230769231,4188.205128205129,4379.48717948718,4844.102564102564,3785.1282051282055,4213.846153846154,4261.025641025642,4143.076923076924,4409.2307692307695,4125.128205128206,4231.282051282052
93494,110.0,0.0,492.0,4505.641025641026,4189.74358974359,4377.435897435898,4840.000000000001,3780.512820512821,4230.256410256411,4268.205128205129,4144.615384615385,4411.794871794872,4126.666666666667,4231.794871794872
93494,111.0,0.0,373.0,4528.717948717949,4189.74358974359,4375.8974358974365,4843.589743589744,3781.538461538462,4242.051282051282,4274.871794871796,4140.000000000001,4408.205128205129,4123.589743589744,4232.820512820514
93494,112.0,0.0,0.0,4533.333333333334,4192.820512820514,4372.307692307693,4846.153846153847,3784.615384615385,4229.74358974359,4269.2307692307695,4139.48717948718,4405.128205128206,4122.564102564103,4230.769230769231
93494,113.0,0.0,292.0,4530.769230769231,4193.333333333334,4366.153846153847,4843.076923076924,3780.512820512821,4232.307692307693,4263.076923076924,4141.538461538462,4406.153846153847,4125.641025641026,4229.74358974359
93494,114.0,0.0,492.0,4525.128205128206,4187.6923076923085,4358.461538461539,4843.589743589744,3783.589743589744,4246.666666666667,4262.051282051282,4133.333333333334,4401.538461538462,4118.461538461539,4231.282051282052
93568,115.0,0.0,373.0,4509.743589743591,4183.076923076924,4353.846153846154,4836.410256410257,3786.666666666667,4244.102564102564,4267.6923076923085,4130.769230769231,4402.051282051282,4113.333333333334,4227.179487179487
93568,116.0,0.0,0.0,4498.461538461539,4187.179487179487,4365.128205128206,4838.974358974359,3789.2307692307695,4235.8974358974365,4278.461538461539,4143.589743589744,4410.769230769231,4123.076923076924,4227.6923076923085
93568,117.0,0.0,292.0,4510.256410256411,4192.820512820514,4375.384615384616,4843.589743589744,3788.717948717949,4236.410256410257,4281.025641025642,4152.307692307693,4413.333333333334,4128.717948717949,4231.282051282052
93568,118.0,0.0,492.0,4528.205128205129,4192.820512820514,4368.717948717949,4840.512820512821,3783.076923076924,4238.461538461539,4275.8974358974365,4149.74358974359,4410.256410256411,4124.615384615385,4229.2307692307695
93569,119.0,0.0,373.0,4522.051282051282,4189.74358974359,4361.538461538462,4845.128205128206,3781.538461538462,4234.871794871796,4274.871794871796,4148.205128205129,4409.743589743591,4122.051282051282,4229.74358974359
