timestamps,TP9,AF7,AF8,TP10,Right AUX
1610304289.322125,7.32421875,32.71484375,164.0625,904.78515625,22.94921875
1610304289.3260312,2.44140625,38.0859375,-133.30078125,-859.375,33.203125
1610304289.3299375,29.78515625,42.96875,-305.17578125,176.7578125,10.25390625
1610304289.3338437,65.4296875,41.9921875,61.03515625,-1000.0,35.15625
1610304289.33775,57.6171875,44.921875,515.625,-576.171875,75.68359375
1610304289.3416562,5.859375,41.015625,181.640625,737.3046875,30.2734375
1610304289.3455625,-16.6015625,31.73828125,-463.8671875,-819.3359375,8.30078125
1610304289.3494687,6.34765625,33.69140625,-528.80859375,255.859375,34.66796875
1610304289.353375,50.29296875,32.71484375,157.71484375,-1000.0,47.8515625
1610304289.3572812,48.828125,30.76171875,516.6015625,-776.3671875,49.8046875
1610304289.3611875,9.27734375,29.78515625,228.02734375,513.18359375,15.13671875
1610304289.3650937,-2.44140625,23.4375,-175.29296875,-790.52734375,-14.6484375
1610304289.353125,12.6953125,31.73828125,-204.58984375,353.515625,19.04296875
1610304289.3570313,57.12890625,40.52734375,169.921875,-965.8203125,72.75390625
1610304289.3609376,61.03515625,32.71484375,412.109375,-938.4765625,114.2578125
1610304289.3648438,16.11328125,24.4140625,313.4765625,286.1328125,81.0546875
1610304289.36875,1.46484375,34.1796875,-36.1328125,-794.921875,35.64453125
1610304289.3726563,-0.48828125,46.38671875,-342.28515625,481.4453125,54.19921875
1610304289.3765626,23.4375,41.015625,-202.63671875,-827.63671875,27.83203125
1610304289.3804688,41.9921875,35.64453125,282.71484375,-1000.0,-1.953125
1610304289.384375,2.9296875,40.0390625,427.734375,67.3828125,20.01953125
1610304289.3882813,-22.94921875,35.64453125,-82.03125,-831.54296875,37.109375
1610304289.3921876,-5.37109375,39.55078125,-551.26953125,656.25,17.08984375
1610304289.3960938,37.59765625,44.43359375,-111.328125,-636.23046875,21.484375
1610304289.412125,61.5234375,39.55078125,455.078125,-1000.0,46.875
1610304289.4160314,32.71484375,43.45703125,338.8671875,-53.7109375,-16.6015625
1610304289.4199376,7.32421875,50.29296875,-96.19140625,-884.27734375,-36.1328125
1610304289.4238439,18.5546875,54.19921875,-224.12109375,848.6328125,30.2734375
1610304289.42775,44.921875,49.8046875,-15.625,-387.20703125,18.5546875
1610304289.4316564,75.1953125,45.8984375,83.49609375,-1000.0,-26.85546875
1610304289.4355626,44.921875,41.9921875,27.83203125,-126.46484375,14.6484375
1610304289.4394689,9.765625,43.9453125,-69.3359375,-932.12890625,21.97265625
1610304289.443375,12.6953125,45.8984375,-173.828125,976.5625,45.8984375
1610304289.4472814,31.73828125,38.0859375,-50.78125,-159.1796875,73.2421875
1610304289.4511876,70.3125,39.55078125,410.15625,-1000.0,126.46484375
1610304289.4550939,53.7109375,50.29296875,614.74609375,-219.23828125,114.2578125
1610304289.457125,8.7890625,49.8046875,159.66796875,-984.375,39.55078125
1610304289.4610312,-5.859375,47.8515625,-282.71484375,-937.5,11.23046875
1610304289.4649374,40.52734375,59.08203125,-177.734375,22.4609375,-21.97265625
1610304289.4688437,92.28515625,53.7109375,329.58984375,-1000.0,37.109375
1610304289.47275,49.8046875,32.71484375,525.87890625,-335.9375,82.03125
1610304289.4766562,2.44140625,28.3203125,23.92578125,947.265625,21.97265625
1610304289.4805624,1.953125,34.1796875,-369.140625,-880.37109375,20.01953125
1610304289.4844687,23.4375,41.9921875,-268.06640625,122.55859375,29.296875
1610304289.488375,61.5234375,38.0859375,84.9609375,-1000.0,16.11328125
1610304289.4922812,61.03515625,45.41015625,96.19140625,-492.67578125,26.85546875
1610304289.4961874,15.625,53.22265625,-60.05859375,813.4765625,27.83203125
1610304289.5000937,-7.8125,41.015625,-132.32421875,-835.44921875,30.2734375
1610304289.502125,18.5546875,46.875,-223.14453125,208.984375,39.55078125
1610304289.5060313,74.21875,49.31640625,144.04296875,-1000.0,22.4609375
1610304289.5099375,59.08203125,35.64453125,479.00390625,-696.77734375,-7.8125
1610304289.5138438,8.30078125,38.57421875,274.90234375,606.4453125,-8.7890625
1610304289.51775,0.48828125,38.0859375,-214.35546875,-798.828125,-21.97265625
1610304289.5216563,19.04296875,38.57421875,-381.34765625,291.015625,3.90625
1610304289.5255625,59.5703125,40.0390625,-48.828125,-1000.0,-14.16015625
1610304289.5294688,70.3125,40.52734375,357.91015625,-868.65234375,-16.6015625
1610304289.533375,24.90234375,44.43359375,115.234375,386.23046875,31.73828125
1610304289.5372813,-4.39453125,45.41015625,-387.6953125,-788.57421875,27.34375
1610304289.5411875,23.92578125,55.6640625,-307.6171875,413.0859375,38.0859375
1610304289.5450938,69.3359375,45.8984375,27.83203125,-898.92578125,38.57421875
1610304289.547125,72.265625,33.203125,307.6171875,-1000.0,13.671875
1610304289.5510314,25.87890625,45.41015625,304.6875,171.875,25.87890625
1610304289.5549376,3.90625,44.921875,16.11328125,-816.40625,48.33984375
1610304289.5588439,-6.34765625,28.3203125,-269.53125,586.42578125,10.25390625
1610304289.56275,28.80859375,23.92578125,-19.04296875,-710.9375,25.390625
1610304289.5666564,69.82421875,25.390625,285.64453125,-1000.0,19.53125
1610304289.5705626,25.390625,25.87890625,266.11328125,-9.27734375,9.27734375
1610304289.5744689,-2.9296875,27.34375,-89.84375,-863.28125,43.9453125
1610304289.578375,-5.37109375,26.85546875,-523.92578125,781.25,35.64453125
1610304289.5822814,33.69140625,33.69140625,-135.7421875,-480.46875,35.64453125
1610304289.5861876,76.171875,43.45703125,468.26171875,-1000.0,56.640625
1610304289.5900939,30.2734375,34.66796875,416.50390625,-91.30859375,28.3203125
1610304289.593125,-4.8828125,37.59765625,-24.90234375,-909.1796875,-6.34765625
1610304289.5970314,-9.765625,38.0859375,-280.76171875,924.31640625,23.92578125
1610304289.6009376,15.625,25.87890625,-73.2421875,-258.30078125,7.8125
1610304289.6048439,56.640625,24.90234375,215.33203125,-1000.0,-16.11328125
1610304289.60875,44.43359375,40.0390625,339.84375,-174.8046875,35.15625
1610304289.6126564,14.6484375,51.26953125,5.859375,-961.42578125,2.44140625
1610304289.6165626,-6.8359375,28.80859375,-408.203125,-967.7734375,-55.17578125
1610304289.6204689,8.7890625,14.6484375,-375.48828125,-41.9921875,-0.48828125
1610304289.624375,60.05859375,29.296875,0.0,-1000.0,16.6015625
1610304289.6282814,58.59375,37.59765625,499.0234375,-267.578125,39.55078125
1610304289.6321876,17.08984375,30.76171875,229.00390625,987.3046875,46.875
1610304289.6360939,-12.20703125,20.01953125,-257.32421875,-901.3671875,7.32421875
1610304289.637125,-1.46484375,20.5078125,-118.1640625,104.98046875,50.29296875
1610304289.6410313,48.33984375,13.671875,335.44921875,-1000.0,38.57421875
1610304289.6449375,29.296875,3.90625,495.1171875,-416.9921875,31.73828125
1610304289.6488438,-15.13671875,7.32421875,155.76171875,881.8359375,47.8515625
1610304289.65275,-8.30078125,12.20703125,-250.0,-852.5390625,31.73828125
1610304289.6566563,16.6015625,14.16015625,-307.6171875,191.89453125,34.66796875
1610304289.6605625,62.98828125,15.625,65.4296875,-1000.0,37.59765625
1610304289.6644688,70.80078125,23.92578125,42.96875,-595.703125,-19.53125
1610304289.668375,26.85546875,28.80859375,-137.6953125,716.30859375,-23.4375
1610304289.6722813,11.71875,19.04296875,-189.94140625,-815.91796875,-20.5078125
1610304289.6761875,27.34375,9.27734375,-271.97265625,275.87890625,-2.44140625
1610304289.6800938,71.77734375,14.16015625,138.671875,-1000.0,60.05859375
1610304289.697125,95.703125,34.66796875,526.3671875,-791.50390625,64.94140625
1610304289.7010312,35.64453125,37.59765625,351.5625,498.046875,49.8046875
1610304289.7049375,-8.30078125,20.01953125,-141.11328125,-791.50390625,54.19921875
1610304289.7088437,11.23046875,23.92578125,-249.51171875,373.046875,80.56640625
1610304289.71275,48.33984375,28.3203125,149.4140625,-948.2421875,46.38671875
1610304289.7166562,79.58984375,33.69140625,433.10546875,-952.1484375,85.44921875
1610304289.7205625,23.4375,21.97265625,119.140625,269.04296875,102.5390625
1610304289.7244687,-28.3203125,6.34765625,-446.77734375,-799.8046875,28.3203125
1610304289.728375,-7.32421875,13.671875,-318.84765625,507.32421875,57.12890625
1610304289.7322812,29.78515625,5.859375,125.0,-800.29296875,37.59765625
1610304289.7361875,54.6875,9.765625,295.8984375,-1000.0,-8.30078125
1610304289.7400937,21.97265625,25.390625,320.80078125,54.6875,60.546875
1610304289.727125,-9.27734375,20.99609375,38.0859375,-838.37890625,65.91796875
1610304289.7310312,-9.765625,21.97265625,-254.8828125,689.453125,22.94921875
1610304289.7349374,45.8984375,31.25,-64.94140625,-597.65625,3.41796875
1610304289.7388437,87.890625,31.73828125,374.51171875,-1000.0,23.92578125
1610304289.74275,25.87890625,27.34375,467.7734375,-66.89453125,40.0390625
1610304289.7466562,-17.08984375,25.87890625,-91.796875,-887.6953125,31.73828125
1610304289.7505624,6.34765625,33.203125,-455.56640625,857.91015625,-7.8125
1610304289.7544687,31.73828125,29.78515625,-57.6171875,-370.60546875,30.2734375
1610304289.758375,57.12890625,21.484375,447.75390625,-1000.0,92.28515625
1610304289.7622812,40.0390625,31.73828125,473.6328125,-135.25390625,88.37890625
1610304289.7661874,2.44140625,38.57421875,-243.1640625,-935.546875,116.69921875
1610304289.7700937,-9.765625,27.34375,-527.83203125,979.98046875,92.28515625
1610304289.787125,9.27734375,24.90234375,-45.41015625,-143.5546875,51.26953125
1610304289.7910314,64.94140625,30.2734375,316.89453125,-1000.0,54.19921875
1610304289.7949376,48.33984375,26.3671875,427.734375,-236.328125,41.9921875
1610304289.7988439,-6.8359375,21.97265625,78.125,-993.65234375,-28.3203125
1610304289.80275,-5.859375,28.80859375,-243.1640625,-925.78125,-37.59765625
1610304289.8066564,26.3671875,35.15625,-317.87109375,46.38671875,14.6484375
1610304289.8105626,71.77734375,34.66796875,25.390625,-1000.0,38.57421875
1610304289.8144689,50.78125,36.1328125,478.02734375,-347.16796875,33.203125
1610304289.818375,-2.44140625,32.71484375,217.28515625,934.08203125,35.15625
1610304289.8222814,-8.7890625,30.76171875,-323.2421875,-874.0234375,13.18359375
1610304289.8261876,14.16015625,38.57421875,-304.19921875,145.99609375,5.859375
1610304289.8300939,56.640625,38.0859375,281.25,-1000.0,43.9453125
1610304289.862125,43.45703125,41.9921875,475.09765625,-544.921875,46.875
1610304289.8660312,11.71875,42.96875,78.125,774.90234375,15.625
1610304289.8699374,9.27734375,38.0859375,-232.421875,-826.171875,30.76171875
1610304289.8738437,7.32421875,38.0859375,-199.21875,222.65625,19.04296875
1610304289.87775,42.48046875,33.69140625,153.80859375,-1000.0,21.484375
1610304289.8816562,47.8515625,40.0390625,299.8046875,-723.14453125,49.31640625
1610304289.8855624,9.27734375,53.22265625,97.65625,581.54296875,35.15625
1610304289.8894687,-2.44140625,55.17578125,-111.81640625,-795.41015625,58.59375
1610304289.893375,13.671875,54.6875,-273.92578125,319.3359375,45.41015625
1610304289.8972812,47.8515625,43.45703125,-153.3203125,-1000.0,34.1796875
1610304289.9011874,61.03515625,36.1328125,300.29296875,-876.953125,31.25
1610304289.9050937,25.390625,47.8515625,369.62890625,382.8125,39.0625
1610304289.877125,-3.90625,52.24609375,-114.2578125,-792.48046875,61.5234375
1610304289.8810313,4.8828125,42.96875,-287.59765625,439.453125,63.4765625
1610304289.8849375,53.7109375,36.62109375,130.37109375,-875.0,54.6875
1610304289.8888438,75.1953125,34.66796875,524.4140625,-1000.0,93.75
1610304289.89275,39.0625,44.43359375,269.04296875,152.83203125,93.75
1610304289.8966563,2.9296875,49.8046875,-337.890625,-820.3125,4.39453125
1610304289.9005625,0.48828125,42.48046875,-450.1953125,613.28125,-68.84765625
1610304289.9044688,38.0859375,39.0625,-14.16015625,-686.5234375,-46.38671875
1610304289.908375,59.5703125,35.64453125,293.45703125,-1000.0,-23.92578125
