timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610544988.692,-1000.000,-882.324,-791.016,-904.785,-850.098,0
1610544988.696,-247.070,892.578,638.672,748.535,794.434,0
1610544988.700,-990.723,-349.609,-708.984,-774.902,-544.434,0
1610544988.704,-943.359,-1000.000,-1000.000,-788.086,-1000.000,0
1610544988.708,-147.949,1.953,62.500,745.117,237.793,0
1610544988.712,-1000.000,-923.828,-857.910,-922.852,-877.930,0
1610544988.716,-425.781,-987.793,859.863,949.707,960.449,0
1610544988.719,902.344,-115.723,-421.875,-371.582,-251.953,0
1610544988.723,-863.770,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.727,31.250,-103.027,-90.332,441.895,41.504,0
1610544988.731,-1000.000,-959.961,-940.918,-916.016,-928.223,0
1610544988.735,-659.180,-918.457,-963.379,-950.684,-937.500,0
1610544988.737,688.477,83.496,-139.648,-47.363,-5.859,0
1610544988.741,-792.969,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.745,200.684,-219.727,-139.160,159.668,-117.188,0
1610544988.749,-1000.000,-997.559,-973.145,-918.457,-973.633,0
1610544988.753,-895.996,-887.207,-902.344,-921.387,-889.160,0
1610544988.757,409.668,182.129,64.941,153.809,198.730,0
1610544988.761,-753.418,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.764,178.223,-368.164,-167.969,-69.824,-162.109,0
1610544988.768,-1000.000,918.945,-982.422,-951.660,-969.727,0
1610544988.772,-1000.000,-858.398,-889.648,-895.020,-886.719,0
1610544988.776,159.668,220.215,220.703,262.207,257.812,0
1610544988.780,-734.375,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.782,171.875,-531.738,-322.266,-170.410,-207.031,0
1610544988.786,-995.117,782.227,970.215,-965.332,-977.539,0
1610544988.790,-1000.000,-827.637,-871.582,-886.230,-888.672,0
1610544988.794,-29.297,275.391,253.418,255.859,261.719,0
1610544988.798,-752.930,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.802,372.070,-714.844,-512.207,-168.945,-345.703,0
1610544988.806,-911.621,594.727,863.770,-967.285,955.566,0
1610544988.809,-1000.000,-801.270,-835.938,-890.625,-868.652,0
1610544988.813,-219.238,378.906,251.465,294.434,375.000,0
1610544988.817,-822.754,-977.539,-1000.000,-1000.000,-1000.000,0
1610544988.821,580.078,-891.113,-735.352,-265.625,-556.152,0
1610544988.825,-822.266,382.324,620.605,993.164,835.449,0
1610544988.827,-1000.000,-801.270,-788.086,-886.230,-842.285,0
1610544988.831,-184.082,538.086,353.516,468.750,509.766,0
1610544988.835,-893.555,-814.453,-968.750,-1000.000,-957.520,0
1610544988.839,844.238,-1000.000,-962.891,-479.980,-808.594,0
1610544988.843,-507.324,168.945,311.523,916.016,605.957,0
1610544988.847,-1000.000,-838.379,-767.578,-874.512,-839.844,0
1610544988.851,-147.461,743.164,519.043,611.816,702.637,0
1610544988.854,-958.008,-572.754,-829.590,-929.688,-697.754,0
1610544988.858,-956.055,-1000.000,-1000.000,-743.652,-1000.000,0
1610544988.862,-142.090,15.625,94.727,742.188,370.117,0
1610544988.866,-1000.000,-896.484,-820.801,-892.090,-875.488,0
1610544988.870,-332.520,932.129,750.977,838.379,930.176,0
1610544988.872,950.684,-291.992,-568.359,-545.898,-308.105,0
1610544988.876,-881.836,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.880,47.852,-84.473,-73.242,443.359,112.793,0
1610544988.884,-1000.000,-946.777,-917.969,-907.227,-915.039,0
1610544988.888,-500.488,-948.730,979.980,-976.074,-950.684,0
1610544988.892,852.051,-41.504,-251.465,-150.879,-41.016,0
1610544988.896,-829.590,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.899,225.586,-152.832,-135.254,182.617,-62.012,0
1610544988.903,-1000.000,-977.051,-968.262,-914.062,-957.520,0
1610544988.907,-732.422,-897.461,-914.062,-932.129,-901.855,0
1610544988.911,643.066,146.484,-8.301,63.965,146.484,0
1610544988.915,-787.598,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.917,196.289,-242.676,-141.602,-20.020,-154.785,0
1610544988.921,-1000.000,995.117,-978.027,-949.219,-973.633,0
1610544988.925,-923.828,-879.883,-891.113,-898.926,-883.301,0
1610544988.929,366.699,229.492,192.383,265.137,253.418,0
1610544988.933,-746.582,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.937,172.363,-376.465,-246.582,-170.410,-169.922,0
1610544988.941,-999.512,929.688,998.535,-965.332,-965.332,0
1610544988.944,-1000.000,-858.398,-881.836,-886.230,-891.602,0
1610544988.948,73.242,263.184,259.766,255.859,262.207,0
1610544988.952,-740.234,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.956,367.188,-564.453,-428.223,-170.410,-282.227,0
1610544988.960,-913.574,778.809,924.316,-965.332,987.793,0
1610544988.964,-1000.000,-825.195,-854.492,-887.695,-878.418,0
1610544988.968,-117.676,339.844,239.746,257.812,329.102,0
1610544988.972,-796.387,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544988.976,565.430,-785.156,-630.371,-195.801,-465.820,0
1610544988.980,-814.453,542.480,741.699,-986.816,897.461,0
1610544988.984,-1000.000,-800.781,-808.594,-891.602,-856.934,0
1610544988.988,-184.082,484.863,327.148,451.660,505.371,0
1610544988.991,-893.555,-883.789,-1000.000,-1000.000,-988.281,0
1610544988.995,844.238,-982.910,-873.047,-398.926,-725.586,0
1610544988.999,-507.324,292.480,446.777,954.590,701.660,0
1610544989.003,-1000.000,-818.359,-773.926,-888.184,-840.820,0
1610544989.007,-147.461,681.152,478.027,617.676,647.949,0
1610544989.007,-958.008,-653.809,-876.465,-970.215,-775.879,0
1610544989.011,-951.660,-1000.000,-1000.000,-602.539,-991.211,0
1610544989.015,-145.996,80.078,180.664,891.602,413.086,0
1610544989.019,-1000.000,-877.441,-803.223,-919.434,-862.793,0
1610544989.023,-236.328,889.160,697.754,840.332,873.535,0
1610544989.027,992.188,-363.770,-640.137,-601.562,-422.852,0
1610544989.031,-896.973,-1000.000,-1000.000,-924.805,-1000.000,0
1610544989.034,56.152,-50.293,13.672,612.793,206.543,0
1610544989.038,-1000.000,-934.570,-888.672,-923.828,-903.809,0
1610544989.042,-434.082,-969.727,936.523,-983.887,-971.191,0
1610544989.046,898.438,-97.168,-305.664,-189.453,-89.844,0
1610544989.050,-846.680,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.067,202.637,-129.883,-120.117,279.785,-22.461,0
1610544989.071,-1000.000,-969.727,-959.473,-907.715,-947.754,0
1610544989.075,-681.641,-905.762,-928.711,-937.500,-911.133,0
1610544989.079,700.684,108.398,-51.758,35.645,102.051,0
1610544989.083,-795.898,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.087,197.266,-215.820,-140.625,76.172,-136.719,0
1610544989.091,-1000.000,-995.117,-976.562,-931.152,-972.168,0
1610544989.094,-923.828,-884.766,-893.066,-911.133,-885.742,0
1610544989.098,366.699,212.402,145.996,238.281,237.305,0
1610544989.102,-746.582,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.106,172.852,-346.191,-194.336,-144.043,-167.480,0
1610544989.110,-999.512,947.266,-985.840,-961.914,-966.797,0
1610544989.112,-1000.000,-863.770,-886.719,-888.184,-889.648,0
1610544989.116,77.148,249.512,254.883,257.324,260.254,0
1610544989.120,-736.816,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.124,270.508,-524.902,-363.770,-170.410,-247.070,0
1610544989.128,-955.078,812.988,956.055,-965.332,-996.094,0
1610544989.132,-1000.000,-831.543,-866.211,-886.230,-883.301,0
1610544989.136,-125.977,309.570,249.023,255.371,298.340,0
1610544989.139,-782.715,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.143,477.051,-731.934,-550.293,-163.574,-414.551,0
1610544989.147,-870.605,603.516,826.172,-972.656,923.340,0
1610544989.151,-1000.000,-801.270,-826.660,-892.578,-860.352,0
1610544989.155,-202.637,427.734,299.316,399.902,441.895,0
1610544989.158,-857.422,-939.941,-1000.000,-1000.000,-1000.000,0
1610544989.162,718.750,-932.129,-790.527,-324.707,-647.461,0
1610544989.166,-670.898,357.422,555.664,980.469,765.137,0
1610544989.170,-1000.000,-808.594,-784.668,-890.625,-845.703,0
1610544989.174,-165.039,625.000,445.801,567.871,619.629,0
1610544989.178,-926.758,-724.121,-910.645,-1000.000,-833.496,0
1610544989.182,951.172,-1000.000,-1000.000,-531.250,-920.898,0
1610544989.185,-328.125,132.324,261.230,915.039,501.465,0
1610544989.189,-1000.000,-858.398,-789.062,-904.297,-853.516,0
1610544989.193,-236.328,833.008,632.812,753.418,807.129,0
1610544989.197,999.512,-449.707,-716.797,-751.465,-528.320,0
1610544989.201,-916.504,-1000.000,-1000.000,-829.102,-1000.000,0
1610544989.202,-46.387,-20.508,63.477,694.336,248.047,0
1610544989.206,-1000.000,-919.434,-859.863,-914.551,-888.672,0
1610544989.210,-410.156,998.047,867.676,946.777,989.746,0
1610544989.214,906.738,-172.363,-410.156,-368.652,-190.430,0
1610544989.218,-854.004,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.222,137.695,-99.609,-87.891,421.387,55.664,0
1610544989.226,-1000.000,-961.426,-944.824,-914.551,-933.105,0
1610544989.229,-629.883,-916.016,-954.102,-949.707,-925.293,0
1610544989.233,741.211,70.312,-113.281,-48.828,68.848,0
1610544989.237,-804.688,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.241,205.566,-179.199,-139.648,165.039,-119.629,0
1610544989.245,-1000.000,-982.910,-974.121,-919.922,-968.262,0
1610544989.248,-869.141,-889.648,-898.438,-918.945,-889.648,0
1610544989.252,450.684,196.777,83.984,167.480,209.961,0
1610544989.256,-757.324,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.260,177.246,-278.320,-157.227,-54.688,-163.574,0
1610544989.264,-1000.000,983.398,-979.004,-946.289,-968.750,0
1610544989.268,-1000.000,-875.000,-888.672,-897.949,-886.719,0
1610544989.272,141.113,245.605,240.723,263.184,257.812,0
1610544989.275,-734.375,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.279,223.145,-434.570,-299.805,-170.410,-205.566,0
1610544989.283,-977.051,888.672,983.398,-965.332,-978.027,0
1610544989.287,-1000.000,-848.633,-876.465,-886.230,-889.160,0
1610544989.291,-40.527,298.828,256.348,255.371,276.855,0
1610544989.293,-759.277,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.297,396.973,-641.113,-478.516,-166.016,-356.934,0
1610544989.301,-900.391,706.543,892.090,-970.703,951.660,0
1610544989.305,-1000.000,-815.430,-843.262,-888.672,-867.676,0
1610544989.309,-217.285,402.832,270.996,349.121,391.113,0
1610544989.313,-823.730,-981.934,-1000.000,-1000.000,-1000.000,0
1610544989.317,580.078,-852.539,-699.707,-258.301,-548.828,0
1610544989.320,-822.266,474.121,667.969,-999.023,843.262,0
1610544989.324,-1000.000,-808.105,-797.852,-894.043,-848.145,0
1610544989.328,-184.082,577.148,397.949,535.156,542.480,0
1610544989.332,-893.555,-789.062,-956.055,-1000.000,-936.035,0
1610544989.336,844.238,-1000.000,-952.637,-472.168,-820.801,0
1610544989.337,-507.324,231.934,349.609,939.941,605.957,0
1610544989.341,-1000.000,-845.215,-781.250,-907.227,-857.422,0
1610544989.345,-147.461,793.945,577.148,732.422,772.461,0
1610544989.349,-958.008,-506.348,-782.715,-816.406,-606.934,0
1610544989.353,-956.055,-1000.000,-1000.000,-719.238,-1000.000,0
1610544989.357,-142.090,45.898,129.395,812.988,353.516,0
1610544989.361,-1000.000,-903.809,-835.449,-929.688,-881.348,0
1610544989.364,-332.520,968.750,805.176,933.594,953.613,0
1610544989.368,950.684,-223.633,-496.582,-429.199,-270.020,0
1610544989.372,-882.324,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.376,47.852,-72.266,-41.992,534.668,115.723,0
1610544989.380,-1000.000,-951.660,-922.852,-924.316,-917.969,0
1610544989.383,-520.020,-930.176,-991.699,-953.613,-943.359,0
1610544989.387,839.844,19.531,-184.570,-85.449,-9.766,0
1610544989.391,-824.219,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.395,216.797,-141.602,-130.859,233.398,-68.359,0
1610544989.399,-1000.000,-973.145,-970.703,-914.062,-962.891,0
1610544989.403,-811.523,-894.531,-905.762,-923.828,-895.508,0
1610544989.407,540.039,182.129,41.992,129.395,203.125,0
1610544989.410,-768.555,-1000.000,-1000.000,-1000.000,-1000.000,0
1610544989.414,180.176,-231.934,-145.508,28.809,-162.598,0
