timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1610554658.895,-210.938,37.109,52.246,-30.273,-164.062,0
1610554658.899,169.922,40.527,46.875,38.574,-81.055,0
1610554658.903,368.652,40.039,36.133,66.895,29.785,0
1610554658.907,196.777,32.227,37.109,33.203,36.621,0
1610554658.911,-70.312,35.645,45.410,20.996,-75.195,0
1610554658.915,-170.898,45.410,51.270,20.996,-166.992,0
1610554658.919,104.980,45.410,44.434,33.203,-113.281,0
1610554658.922,369.141,44.922,36.133,46.875,49.316,0
1610554658.926,257.812,42.480,16.113,46.387,79.102,0
1610554658.930,-41.992,38.574,17.090,11.230,-35.645,0
1610554658.934,-182.129,43.457,41.016,6.348,-142.090,0
1610554658.938,-0.488,42.969,37.598,47.363,-100.098,0
1610554658.940,226.074,27.344,34.180,64.941,49.805,0
1610554658.944,247.070,35.645,38.086,61.523,109.375,0
1610554658.948,-15.625,48.340,41.504,28.809,9.277,0
1610554658.952,-257.812,36.133,32.227,-11.719,-131.348,0
1610554658.956,20.508,28.320,27.344,28.320,-114.258,0
1610554658.960,371.582,20.020,28.809,57.617,-0.977,0
1610554658.964,327.637,26.367,28.320,41.504,69.824,0
1610554658.967,38.574,38.086,33.203,12.207,23.438,0
1610554658.971,-208.984,41.992,20.020,-19.531,-96.680,0
1610554658.975,-62.500,38.086,14.160,18.066,-127.930,0
1610554658.979,237.793,30.273,27.832,57.617,31.250,0
1610554658.983,288.086,37.598,32.227,53.223,109.375,0
1610554658.985,31.250,35.645,30.762,18.066,15.137,0
1610554658.989,-292.480,27.344,37.109,-17.578,-112.305,0
1610554658.993,-175.781,27.344,24.414,-5.859,-130.371,0
1610554658.997,193.359,26.367,13.184,28.320,-0.488,0
1610554659.001,317.871,29.297,20.996,44.434,118.164,0
1610554659.005,80.078,37.598,24.902,19.531,83.496,0
1610554659.009,-253.906,41.504,39.062,-23.438,-45.898,0
1610554659.012,-153.809,37.598,34.180,-2.930,-91.309,0
1610554659.016,211.914,35.156,22.949,47.363,-37.109,0
1610554659.020,352.051,33.203,20.996,60.059,77.637,0
1610554659.024,78.613,34.180,16.602,42.480,96.191,0
1610554659.028,-210.938,48.340,40.527,22.949,-31.738,0
1610554659.031,-126.953,48.340,39.551,12.695,-69.824,0
1610554659.035,178.223,22.949,2.441,2.930,38.086,0
1610554659.039,244.141,15.625,-13.184,19.043,166.992,0
1610554659.043,25.391,25.879,-4.395,16.602,133.789,0
1610554659.047,-219.238,37.109,20.508,-8.789,-28.320,0
1610554659.051,-277.344,40.527,28.320,8.301,-66.406,0
1610554659.055,15.625,27.344,6.836,43.457,35.156,0
1610554659.058,234.863,26.367,-3.418,57.617,156.738,0
1610554659.062,97.168,34.180,17.090,52.734,173.828,0
1610554659.066,-317.383,23.438,20.508,-8.789,82.520,0
1610554659.070,-416.504,17.578,19.531,-20.020,-17.578,0
1610554659.074,-10.254,32.715,25.879,43.945,-4.395,0
1610554659.077,223.145,29.297,9.766,52.246,91.797,0
1610554659.081,113.770,18.066,-10.742,2.930,116.211,0
1610554659.085,-173.340,22.461,-3.418,-45.410,25.391,0
1610554659.089,-306.641,17.578,14.648,-52.734,-79.590,0
1610554659.093,-48.828,13.672,-4.395,-8.301,-37.109,0
1610554659.097,177.246,21.484,-12.695,29.297,68.359,0
1610554659.101,164.551,37.598,19.531,34.668,86.426,0
1610554659.104,-153.809,41.992,31.250,6.348,-2.930,0
1610554659.108,-414.551,21.484,29.297,-36.621,-116.699,0
1610554659.112,-137.207,9.766,19.043,-41.992,-109.863,0
1610554659.116,201.660,24.902,0.977,-1.953,12.695,0
1610554659.120,139.648,48.828,21.973,0.000,25.391,0
1610554659.120,-242.676,45.410,30.762,-54.199,-59.082,0
1610554659.124,-380.371,30.762,7.324,-81.055,-140.625,0
1610554659.128,-181.641,23.926,6.348,-60.547,-158.691,0
1610554659.132,120.117,18.066,11.230,-18.066,-52.734,0
1610554659.136,202.637,21.973,5.371,-0.488,19.531,0
1610554659.140,-99.121,36.621,21.484,-15.625,-48.828,0
1610554659.144,-373.047,42.480,43.945,-21.973,-148.926,0
1610554659.147,-222.656,35.156,31.250,-24.414,-161.133,0
1610554659.151,197.266,30.762,20.508,6.836,-101.074,0
1610554659.155,257.812,41.016,29.785,21.973,-19.043,0
1610554659.159,-15.137,38.086,17.578,-6.348,-83.008,0
1610554659.163,-274.902,30.273,7.324,-20.508,-176.758,0
1610554659.166,-201.660,34.668,26.855,-3.418,-164.551,0
1610554659.170,182.617,30.273,26.855,28.809,-107.422,0
1610554659.174,315.430,25.391,10.742,31.738,-56.152,0
1610554659.178,41.992,33.203,13.184,19.531,-67.871,0
1610554659.182,-252.930,40.527,34.668,-5.859,-119.141,0
